Source,Target,Passed_CI_Test
七.雜項類,五.醫藥保健類,pearsonr
總指數,五.醫藥保健類,pearsonr
總指數,七.雜項類,pearsonr
六.教養娛樂類,五.醫藥保健類,pearsonr
六.教養娛樂類,七.雜項類,pearsonr
六.教養娛樂類,總指數,pearsonr
二.衣著類,五.醫藥保健類,pearsonr
二.衣著類,七.雜項類,pearsonr
二.衣著類,總指數,pearsonr
二.衣著類,六.教養娛樂類,pearsonr
四.交通及通訊類,五.醫藥保健類,pearsonr
四.交通及通訊類,七.雜項類,pearsonr
四.交通及通訊類,總指數,pearsonr
四.交通及通訊類,六.教養娛樂類,pearsonr
四.交通及通訊類,二.衣著類,pearsonr
一.食物類,五.醫藥保健類,pearsonr
一.食物類,七.雜項類,pearsonr
一.食物類,總指數,pearsonr
一.食物類,六.教養娛樂類,pearsonr
一.食物類,二.衣著類,pearsonr
一.食物類,四.交通及通訊類,pearsonr
三.居住類,五.醫藥保健類,pearsonr
三.居住類,七.雜項類,pearsonr
三.居住類,總指數,pearsonr
三.居住類,六.教養娛樂類,pearsonr
三.居住類,二.衣著類,pearsonr
三.居住類,四.交通及通訊類,pearsonr
三.居住類,一.食物類,pearsonr
