Source,Target,IV_Effect,LR_Effect
總指數,一.食物類,1.4777482790021854,0.3642804055780516
總指數,五.醫藥保健類,1.107416067761293,0.58424764209423
三.居住類,一.食物類,1.820106351221002,0.6356015265498347
一.食物類,五.醫藥保健類,0.4420009276594451,0.201821876720733
三.居住類,五.醫藥保健類,0.1057495651715906,0.13060953584239215
三.居住類,總指數,0.37639689450622354,0.0014532169107449103
四.交通及通訊類,五.醫藥保健類,0.3941452505565473,0.1580260062614206
四.交通及通訊類,一.食物類,0.21830381875513044,0.061137858960813876
四.交通及通訊類,三.居住類,0.038115248674479046,-0.0052668774458181945
四.交通及通訊類,總指數,0.3057122602113429,0.08618707119241228
七.雜項類,五.醫藥保健類,-0.028046907371627693,0.11581434533835104
七.雜項類,一.食物類,-0.0863033665111417,-0.20762280078339318
二.衣著類,五.醫藥保健類,0.8278265035867342,0.23485744094117605
七.雜項類,總指數,0.34271652860200674,0.0020219944879165466
七.雜項類,三.居住類,-0.18835757621780563,-0.15869910852083877
七.雜項類,四.交通及通訊類,0.5636909329547172,0.0811048317756731
二.衣著類,一.食物類,0.401329383873534,0.37473190207101115
二.衣著類,總指數,0.36669376380864976,0.2247181542014792
二.衣著類,三.居住類,-0.031246585195113776,-0.00755617079917789
二.衣著類,四.交通及通訊類,0.45108633110812496,0.12681196690030783
六.教養娛樂類,一.食物類,0.40978825200953517,0.11160463803559774
二.衣著類,七.雜項類,-0.01289372989651897,0.15495400906489043
六.教養娛樂類,總指數,0.47310513139832167,0.2560297124813327
六.教養娛樂類,五.醫藥保健類,1.0306401874235591,0.31137129782599526
六.教養娛樂類,三.居住類,-0.08755386035183706,0.035979519952459446
六.教養娛樂類,四.交通及通訊類,1.5421603553041046,1.0131453328558413
六.教養娛樂類,七.雜項類,0.052094243457701486,0.17395672458415895
六.教養娛樂類,二.衣著類,0.8104410007641112,0.15390520939155253
