Source,Target,IV_RandomCause_P,IV_RandomCause_Sig,IV_DataSubset_P,IV_DataSubset_Sig,LR_RandomCause_P,LR_RandomCause_Sig,LR_DataSubset_P,LR_DataSubset_Sig
六.教養娛樂類,二.衣著類,1.0,True,0.72,True,0.96,False,0.94,False
二.衣著類,一.食物類,1.0,True,0.9,True,0.96,False,0.78,False
六.教養娛樂類,一.食物類,1.0,True,0.92,True,0.8,False,0.86,False
三.居住類,二.衣著類,1.0,True,0.98,True,0.96,False,0.98,False
五.醫藥保健類,六.教養娛樂類,1.0,True,0.82,True,0.94,False,0.88,False
三.居住類,一.食物類,1.0,True,0.84,True,0.9199999999999999,False,0.8600000000000001,False
五.醫藥保健類,一.食物類,1.0,True,0.94,True,0.96,False,0.94,False
五.醫藥保健類,二.衣著類,1.0,True,0.82,True,0.78,False,0.86,False
三.居住類,六.教養娛樂類,1.0,True,0.78,True,0.98,False,0.98,False
三.居住類,五.醫藥保健類,1.0,True,0.9199999999999999,True,1.0,False,0.86,False
七.雜項類,一.食物類,1.0,True,0.84,True,0.96,False,0.92,False
七.雜項類,二.衣著類,1.0,True,0.8999999999999999,True,0.92,False,0.92,False
七.雜項類,三.居住類,1.0,True,0.94,True,0.9,False,0.94,False
七.雜項類,五.醫藥保健類,1.0,True,0.8,True,0.98,False,0.88,False
七.雜項類,六.教養娛樂類,1.0,True,0.98,True,0.8999999999999999,False,0.94,False
四.交通及通訊類,一.食物類,1.0,True,0.9,True,0.96,False,0.98,False
四.交通及通訊類,二.衣著類,1.0,True,0.82,True,0.8400000000000001,False,0.94,False
四.交通及通訊類,五.醫藥保健類,1.0,True,0.92,True,0.98,False,0.96,False
四.交通及通訊類,六.教養娛樂類,1.0,True,0.62,True,0.96,False,0.8799999999999999,False
四.交通及通訊類,三.居住類,1.0,True,0.8600000000000001,True,0.8999999999999999,False,0.82,False
總指數,六.教養娛樂類,1.0,True,0.88,True,0.82,False,0.94,False
四.交通及通訊類,七.雜項類,1.0,True,0.84,True,0.9,False,0.9,False
總指數,一.食物類,1.0,True,0.76,True,0.9199999999999999,False,0.8799999999999999,False
總指數,二.衣著類,1.0,True,0.86,True,0.96,False,0.8999999999999999,False
總指數,五.醫藥保健類,1.0,True,0.8999999999999999,True,0.92,False,0.9199999999999999,False
總指數,七.雜項類,1.0,True,0.9,True,0.92,False,1.0,False
總指數,三.居住類,1.0,True,0.96,True,1.0,False,0.94,False
總指數,四.交通及通訊類,1.0,True,0.94,True,0.84,False,0.86,False
